Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore;Player_id
29;0;0;29;0;1;Alex Cordaz;99999999
5;0;0;5;0;0;Mattia Sangalli;99999999
32;29;2;1;1;5;Alessandro Bastoni;19047
23;0;3;20;0;3;Aleksandar Kolarov;99999999
36;3;3;30;0;2;Andrea Ranocchia;99999999
1;0;0;1;0;0;William Rovida;99999999
35;2;15;18;0;3;Mat as Vecino;99999999
36;33;1;2;2;0;Hakan Calhanoglu;4175
36;0;1;35;0;1;Carlo Pinsoglio;99999999
31;23;8;0;1;6;Manuel Locatelli;14174
2;0;1;1;0;0;Martin Palumbo;99999999
32;17;11;4;0;5;Alex Sandro;510
37;5;0;32;0;0;Mattia Perin;99999999
20;0;9;11;0;17;Kaio Jorge;99999999
35;15;3;17;1;2;Luca Pellegrini;12762
29;26;3;0;0;8;Paulo Dybala;8504
13;4;2;7;0;0;Fabio Miretti;99999999
1;0;0;1;0;4;Franco Israel;99999999
2;0;0;2;0;0;Filippo Ranocchia;99999999
34;28;4;2;0;4;Adrien Rabiot;277
2;0;0;2;0;4;Diego Stramaccioni;99999999
23;15;6;2;1;14;Weston McKennie;11284
37;29;2;6;0;1;Matthijs de Ligt;11559
27;13;7;7;1;10;Mattia De Sciglio;7276
9;0;2;7;0;1;Mat as Soul;99999999
2;0;0;2;0;1;Zsombor Senk;99999999
37;33;0;4;0;1;Wojciech Szczesny;99999999
27;11;9;7;0;10;Arthur Melo;12644
8;0;0;8;0;9;Koni De Winter;99999999
32;12;20;0;0;4;Moise Kean;12769
22;13;6;3;0;0;Rodrigo Bentancur;11287
14;11;3;0;0;24;Federico Chiesa;99999999
12;0;4;8;0;6;Marley Ak;99999999
1;0;0;1;0;2;Samuel Iling Junior;99999999
30;22;2;6;0;8;Leonardo Bonucci;6169
1;0;0;1;0;0;Nicol  Fagioli;99999999
22;5;15;2;0;1;Dejan Kulusevski;99999999
36;26;9;1;1;1;lvaro Morata;646
24;22;0;2;2;12;Danilo;2295
35;9;3;23;0;3;Daniele Rugani;99999999
9;1;2;6;0;11;Aaron Ramsey;99999999
1;0;0;1;0;0;Emanuele Zuelli;99999999
1;0;0;1;0;6;Marco Raina;99999999
31;16;12;3;1;6;Federico Bernardeschi;3333
10;6;3;1;0;4;Denis Zakaria;99999999
36;33;3;0;0;1;Dusan Vlahovic;14068
27;16;5;6;0;11;Giorgio Chiellini;3943
1;0;1;0;0;1;Cristiano Ronaldo;99999999
35;28;5;2;0;2;Juan Cuadrado;5511
37;19;16;2;1;0;Lucas Leiva;6360
36;9;20;7;0;1;Toma Basic;12219
38;15;0;23;0;0;Pepe Reina;99999999
34;28;3;3;2;2;Luiz Felipe;12975
5;0;0;5;0;0;Romano Floriani;99999999
23;1;11;11;0;15;Felipe Caicedo;99999999
32;25;7;0;1;5;Pedro;8592
33;6;4;23;0;5;Stefan Radu;99999999
36;19;5;12;2;0;Patric;8396
35;27;7;1;1;2;Luis Alberto;6416
14;0;1;13;24;0;Dimitrije Kamenovic;99999999
37;0;0;37;0;0;Marius Adamonis;99999999
15;2;1;12;0;0;Jovane;99999999
38;23;0;15;0;0;Thomas Strakosha;99999999
34;16;15;3;0;4;Manuel Lazzari;12578
30;29;1;0;2;6;Francesco Acerbi;3532
23;1;10;12;0;0;Vedat Muriqi;99999999
16;0;4;12;0;1;Andr  Anderson;99999999
31;23;8;0;1;6;Mattia Zaccagni;19698
37;36;1;0;1;0;Sergej Milinkovi  Savi;9729
35;30;3;2;1;2;Adam Marusic;196
16;0;1;15;0;1;Gonzalo Escalante;99999999
38;33;5;0;0;0;Felipe Anderson;3353
31;4;6;21;0;6;Jean Daniel Akpa Akpro;99999999
1;0;0;1;17;0;Jony;99999999
29;0;8;21;0;1;Luka Romero;99999999
35;1;10;24;0;0;Ra l Moro;99999999
1;0;0;1;0;3;Alessio Furlanetto;99999999
13;0;1;12;0;0;Denis Vavro;99999999
33;19;13;1;1;4;Danilo Cataldi;2285
31;31;0;0;0;7;Ciro Immobile;1921
3;0;0;3;0;0;Marco Bertini;99999999
36;24;5;7;0;2;Elseid Hysaj;3022
37;13;9;15;1;0;Nicola Murru;7980
26;8;6;12;0;11;Lorenzo Tonelli;99999999
18;0;4;14;0;0;Gerard Yepes;99999999
13;6;5;2;0;25;Mikkel Damsgaard;99999999
2;0;0;2;0;0;Daniele Montevago;99999999
38;9;11;18;0;0;Radu Dragusin;34187
37;9;1;27;0;1;Wladimiro Falcone;99999999
35;14;10;11;2;0;Tom s Rinc n;10473
36;1;9;26;0;0;Riccardo Ciervo;99999999
36;36;0;0;2;0;Antonio Candreva;965
29;11;9;9;0;8;Stefano Sensi;11271
14;0;10;4;0;9;Ernesto Torregrossa;99999999
